Variable Name,04/2024 Shilshole Shakedown (sg194),
Program,University of Washington Student Seaglider Center (UW SSC),
Internal Mission ID,2024_04_Shilshole_Shakedown,
WMO (unique identifier assigned to a glider),sg194,
Glider Name,Clementine,
Glider Model,Seaglider,
Glider Serial Number,194,
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley",
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager & Lead Pilot",
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory",
Agency roles,"Funding Agency, Operating Agency",
Start Date,2024-04-05T17:25:38.810000000,
Deployment Latitude,47.7164°,
Deployment Longitude,-122.396454°,
Deployment Ship,Welander,X
End Date,2024-04-05T23:42:27.023000064,X
Oceangliders Site,"Puget Sound, WA, USA (not yet an offical Oceangliders Site)",
Network,Applied Physics Lab IOP Seaglider,
Sensor Model,"CT Sail, Optode, Wetlabs",
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma",X
Sensor Calibration Date,,X
Telecom Type,Iridium,
Tracking System,GPS,
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main,
RTQC Method,,
Comments,"offset 17 years, 7 months, 16 days",
