sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen,instrument_dissolved_oxygen,PAR_470nm,particle_concentration_700nm,chlorophyll_695nm,ctd_time,ctd_depth
0,2024-05-15 16:27:37.250999936,0.9482076,47.710407,-122.41053,11.474784,,,,121.0,531.0,470.0,2004-09-29 16:27:37.250999936,0.40407008
1,2024-05-15 16:27:42.239000064,0.91826427,47.710407,-122.41053,11.465268,,,,122.0,512.0,529.0,2004-09-29 16:27:42.239000064,0.3605492
2,2024-05-15 16:27:47.571000064,0.99811316,47.710407,-122.41054,11.463171,,,,118.0,540.0,503.0,2004-09-29 16:27:47.571000064,0.43134317
3,2024-05-15 16:27:52.503000064,0.99811316,47.710407,-122.410545,11.460988,,,,169.0,579.0,462.0,2004-09-29 16:27:52.503000064,0.438978
4,2024-05-15 16:27:57.470999936,1.077962,47.710407,-122.41055,11.461547,,,,130.0,520.0,496.0,2004-09-29 16:27:57.470999936,0.5235415
5,2024-05-15 16:28:03.487999872,0.9482076,47.710403,-122.41055,11.462022,,,,142.0,448.0,555.0,2004-09-29 16:28:03.487999872,0.39085183
6,2024-05-15 16:28:09.256999936,0.97815096,47.710403,-122.41056,11.462477,,,,145.0,485.0,447.0,2004-09-29 16:28:09.256999936,0.42261702
7,2024-05-15 16:28:14.533999872,1.0480187,47.710403,-122.41057,11.4628935,,,,149.0,538.0,496.0,2004-09-29 16:28:14.533999872,0.48959017
8,2024-05-15 16:28:19.496000000,1.0380375,47.710403,-122.410576,11.463285,,,,154.0,749.0,478.0,2004-09-29 16:28:19.496000000,0.4803225
9,2024-05-15 16:28:24.467000064,1.0280565,47.710403,-122.41058,11.463677,,,,152.0,556.0,456.0,2004-09-29 16:28:24.467000064,0.4591436
10,2024-05-15 16:28:31.230999936,1.0080943,47.710403,-122.41058,11.464211,,,,154.0,691.0,514.0,2004-09-29 16:28:31.230999936,0.44552815
11,2024-05-15 16:28:36.404999936,1.0080943,47.7104,-122.41059,11.464582,,,,129.0,588.0,573.0,2004-09-29 16:28:36.404999936,0.45330092
12,2024-05-15 16:28:44.208000000,0.99811316,47.7104,-122.4106,11.464698,,,,128.0,482.0,434.0,2004-09-29 16:28:44.208000000,0.44004053
13,2024-05-15 16:28:50.838999936,1.1178864,47.7104,-122.41061,11.473082,,,,184.0,829.0,447.0,2004-09-29 16:28:50.838999936,0.5495771
14,2024-05-15 16:28:59.440999936,1.0080943,47.7104,-122.410614,11.482676,,,,176.0,489.0,555.0,2004-09-29 16:28:59.440999936,0.4518265
15,2024-05-15 16:29:06.049000064,1.1278675,47.710396,-122.41062,11.470817,,,,139.0,460.0,456.0,2004-09-29 16:29:06.049000064,0.54469174
16,2024-05-15 16:29:12.681999872,1.167792,47.710396,-122.41063,11.472252,,,,132.0,487.0,435.0,2004-09-29 16:29:12.681999872,0.5836385
17,2024-05-15 16:29:19.286999936,1.1378486,47.710396,-122.41064,11.473126,,,,141.0,455.0,477.0,2004-09-29 16:29:19.286999936,0.5533166
18,2024-05-15 16:29:27.644999936,1.277584,47.710396,-122.41065,11.474116,,,,140.0,450.0,431.0,2004-09-29 16:29:27.644999936,0.68479204
19,2024-05-15 16:29:34.250000000,1.2676029,47.710392,-122.41066,11.471936,,,,135.0,427.0,518.0,2004-09-29 16:29:34.250000000,0.6806203
20,2024-05-15 16:29:40.878999936,1.2176974,47.710392,-122.41067,11.469997,,,,165.0,722.0,535.0,2004-09-29 16:29:40.878999936,0.6244914
21,2024-05-15 16:29:47.482000128,1.4073381,47.710392,-122.410675,11.470254,,,,121.0,613.0,456.0,2004-09-29 16:29:47.482000128,0.8151115
22,2024-05-15 16:29:55.569999872,1.4372814,47.710392,-122.41068,11.469587,,,,172.0,633.0,475.0,2004-09-29 16:29:55.569999872,0.8436745
23,2024-05-15 16:30:02.178999936,1.4672246,47.71039,-122.41069,11.4736805,,,,154.0,618.0,523.0,2004-09-29 16:30:02.178999936,0.8733446
24,2024-05-15 16:30:08.812000000,1.51713,47.71039,-122.4107,11.477087,,,,177.0,577.0,600.0,2004-09-29 16:30:08.812000000,0.9228522
