Variable Name,05/2024 Shilshole (sg195),
Program,University of Washington Student Seaglider Center (UW SSC),
Internal Mission ID,2024_05_15_Shilshole_Shakedown,
WMO (unique identifier assigned to a glider),sg195,
Glider Name,Pigeon,
Glider Model,Seaglider,
Glider Serial Number,195,
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley",
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager & Lead Pilot",
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory",
Agency roles,"Funding Agency, Operating Agency",
Start Date,2024-05-15T16:27:37.250999936,
Deployment Latitude,47.710407°,
Deployment Longitude,-122.41053°,
Deployment Ship,R/V Rachel Carson,
End Date,2024-05-15T23:08:47.023999872,
Oceangliders Site,"Puget Sound, WA, USA (not yet an offical Oceangliders Site)",
Network,Applied Physics Lab IOP Seaglider,
Sensor Model,"CT Sail, Optode, Wetlabs",
SensorSerialNumber,"CT: 0121, serial # of sensors, can be multiple deparated by a comma",X
Sensor Calibration Date,,X
Telecom Type,Iridium,
Tracking System,GPS,
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main,
RTQC Method,,

Comments,"offset 19 years, 7 months, 16 days",


