dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,0.09798481,0.10650566,2024-05-31 15:42:29,2024-05-31 16:07:05,47.484333,47.486935,-122.498535,-122.49561
1,-0.03439853,0.087013155,2024-05-31 16:20:53,2024-05-31 16:53:03,47.486866,47.490868,-122.49585,-122.49675
2,0.057478428,0.12948878,2024-05-31 17:04:16,2024-05-31 17:40:59,47.491,47.4963,-122.49648,-122.493164
3,-0.02952262,0.10994378,2024-05-31 17:51:34,2024-05-31 18:26:17,47.49645,47.5008,-122.49229,-122.493034
4,0.026219482,0.16443475,2024-05-31 18:30:05,2024-05-31 19:06:35,47.500916,47.50715,-122.49287,-122.489235
5,0.021410761,0.2296339,2024-05-31 19:09:58,2024-05-31 19:44:52,47.50735,47.514416,-122.489334,-122.4861
6,0.04364,0.17205995,2024-05-31 19:48:35,2024-05-31 20:17:57,47.514732,47.5174,-122.486465,-122.4825
7,0.10126726,0.19203623,2024-05-31 20:21:16,2024-05-31 20:54:35,47.51765,47.521816,-122.4824,-122.47722
8,0.1757951,0.14957324,2024-05-31 21:01:53,2024-05-31 21:26:35,47.522633,47.524567,-122.4758,-122.4729
9,0.3130149,0.34779608,2024-05-31 21:33:16,2024-05-31 21:48:47,47.5254,47.52825,-122.4712,-122.46809
10,0.113658175,0.08804431,2024-05-31 21:58:47,2024-05-31 22:17:05,47.52947,47.530365,-122.4656,-122.46515
11,0.06934847,0.004567475,2024-05-31 22:20:40,2024-05-31 22:42:53,47.530365,47.5319,-122.465,-122.46377
12,0.08024346,0.07575694,2024-05-31 22:46:10,2024-05-31 23:09:16,47.531967,47.534065,-122.46397,-122.46062
