Variable Name,05/31/2024 Colvos Triple (sg195)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2025_05_Colvos_Triple
WMO (unique identifier assigned to a glider),sg195
Glider Name,Pigeon
Glider Model,Seaglider
Glider Serial Number,195
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley, Bella Andre"
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager, Lead Pilot"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory"
Agency roles,"Funding Agency, Operating Agency"
Start Date,2024-05-31T16:05:52.303999872
Deployment Latitude,47.49437°
Deployment Longitude,-122.443634°
Deployment Ship,Dadilest Catch
End Date,2024-05-31T23:47:02.254000000
Oceangliders Site,"Puget Sound, WA, USA "
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Optode, Wetlabs"
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,
