sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,ctd_time,ctd_depth
0,2024-05-31 15:43:37.636000000,0.9182833,47.484333,-122.498535,10.708743,,,2024-05-31 15:43:37.636000000,0.3247282
1,2024-05-31 15:43:42.924000000,0.9482272,47.484337,-122.49853,10.700458,,,2024-05-31 15:43:42.924000000,0.35411087
2,2024-05-31 15:43:49.820000000,0.8883393,47.48434,-122.49852,10.678907,,,2024-05-31 15:43:49.820000000,0.29417172
3,2024-05-31 15:43:55.086999808,0.9482272,47.48435,-122.49851,10.679356,,,2024-05-31 15:43:55.086999808,0.3539031
4,2024-05-31 15:44:00.361999872,0.9482272,47.484352,-122.498505,10.690591,,,2024-05-31 15:44:00.361999872,0.3539073
5,2024-05-31 15:44:05.657999872,0.96818984,47.484356,-122.4985,10.700544,,,2024-05-31 15:44:05.657999872,0.37395352
6,2024-05-31 15:44:13.096000000,0.9482272,47.484364,-122.49849,10.701083,,,2024-05-31 15:44:13.096000000,0.35390618
7,2024-05-31 15:44:18.394000128,1.038059,47.48437,-122.49848,10.701798,,,2024-05-31 15:44:18.394000128,0.4439623
8,2024-05-31 15:44:23.688000000,1.0680029,47.484375,-122.498474,10.702514,,,2024-05-31 15:44:23.688000000,0.47403547
9,2024-05-31 15:44:28.982000128,1.0580217,47.48438,-122.49847,10.700666,,,2024-05-31 15:44:28.982000128,0.46412963
10,2024-05-31 15:44:35.907000064,1.0879656,47.484386,-122.49846,10.649268,,,2024-05-31 15:44:35.907000064,0.4942462
11,2024-05-31 15:44:41.220000000,1.1278908,47.48439,-122.49845,10.648873,,,2024-05-31 15:44:41.220000000,0.5344847
12,2024-05-31 15:44:46.539000064,1.1079282,47.484398,-122.49844,10.64102,,,2024-05-31 15:44:46.539000064,0.5148328
13,2024-05-31 15:44:51.860000000,1.167816,47.4844,-122.49844,10.638738,,,2024-05-31 15:44:51.860000000,0.57429826
14,2024-05-31 15:44:58.881999872,1.4073672,47.48441,-122.49843,10.632723,,,2024-05-31 15:44:58.881999872,0.81408
15,2024-05-31 15:45:04.180000000,1.7068058,47.484413,-122.49842,10.631862,,,2024-05-31 15:45:04.180000000,1.114553
16,2024-05-31 15:45:09.507000064,2.165944,47.484417,-122.49842,10.616195,,,2024-05-31 15:45:09.507000064,1.5773822
17,2024-05-31 15:45:14.828999936,2.5452316,47.484425,-122.49841,10.591511,,,2024-05-31 15:45:14.828999936,1.9554454
18,2024-05-31 15:45:20.151000064,2.8546495,47.48443,-122.498405,10.570196,,,2024-05-31 15:45:20.151000064,2.2652555
19,2024-05-31 15:45:25.472999936,3.443541,47.484432,-122.4984,10.554951,,,2024-05-31 15:45:25.472999936,2.853379
20,2024-05-31 15:45:34.320000000,5.070469,47.484444,-122.49839,10.527258,29.487196,288.80768,2024-05-31 15:45:34.320000000,4.480307
21,2024-05-31 15:45:39.936000000,6.387972,47.48446,-122.49838,10.5159,29.487656,288.87823,2024-05-31 15:45:39.936000000,5.793649
22,2024-05-31 15:45:45.617000192,8.064781,47.48447,-122.498375,10.508197,29.494482,288.91412,2024-05-31 15:45:45.617000192,7.5067086
23,2024-05-31 15:45:54.673000192,9.871328,47.484486,-122.49837,10.4683,29.515,289.12744,2024-05-31 15:45:54.673000192,9.452659
24,2024-05-31 15:46:00.290999808,10.889376,47.4845,-122.49835,10.469287,29.514551,289.12207,2024-05-31 15:46:00.290999808,10.509064
25,2024-05-31 15:46:05.292999936,11.448301,47.484516,-122.498344,10.444575,29.518578,289.2704,2024-05-31 15:46:05.292999936,11.072792
26,2024-05-31 15:46:10.288999936,12.206841,47.484528,-122.49834,10.438313,29.527504,289.2934,2024-05-31 15:46:10.288999936,11.836177
27,2024-05-31 15:46:14.712000000,12.765763,47.484535,-122.49833,10.427434,29.534916,289.34833,2024-05-31 15:46:14.712000000,12.391865
28,2024-05-31 15:46:20.290999808,13.434472,47.484547,-122.49832,10.386586,29.55418,289.57062,2024-05-31 15:46:20.290999808,13.073618
29,2024-05-31 15:46:25.289999872,14.093197,47.48456,-122.498314,10.391387,29.557547,289.53406,2024-05-31 15:46:25.289999872,13.717688
30,2024-05-31 15:46:30.289999872,14.711998,47.48457,-122.49831,10.391135,29.556507,289.53757,2024-05-31 15:46:30.289999872,14.345402
