sg_data_point,time,depth_corrected,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,PAR_470nm,particle_concentration_700nm,chlorophyll_695nm,ctd_time,ctd_depth
0,2004-10-15 15:31:21.141000064,0.0,47.484512,-122.49938,10.833635,,,266.0,99.0,95.0,2004-10-15 15:31:21.141000064,-5.1449404
1,2004-10-15 15:31:25.536000000,0.019963264,47.484516,-122.499374,10.8317585,,,421.0,108.0,113.0,2004-10-15 15:31:25.536000000,-5.1256766
2,2004-10-15 15:31:30.549000064,-0.009981632,47.484524,-122.49937,10.831402,,,285.0,96.0,96.0,2004-10-15 15:31:30.549000064,-5.1550884
3,2004-10-15 15:31:36.380000128,0.059889793,47.48453,-122.49936,10.89608,,,419.0,124.0,113.0,2004-10-15 15:31:36.380000128,-5.0858297
4,2004-10-15 15:31:40.782000128,0.059889793,47.48454,-122.49935,10.937798,,,329.0,107.0,129.0,2004-10-15 15:31:40.782000128,-5.085688
5,2004-10-15 15:31:46.372000000,0.029944897,47.484547,-122.49934,10.914177,,,238.0,96.0,89.0,2004-10-15 15:31:46.372000000,-5.115723
6,2004-10-15 15:31:51.549000064,0.04990816,47.484554,-122.49933,10.892015,,,298.0,98.0,112.0,2004-10-15 15:31:51.549000064,-5.0957866
7,2004-10-15 15:31:57.378999936,-0.06987095,47.484562,-122.49932,10.803625,,,373.0,116.0,120.0,2004-10-15 15:31:57.378999936,-5.215449
8,2004-10-15 15:32:01.802000000,-0.029944897,47.484566,-122.49931,10.814945,,,324.0,100.0,96.0,2004-10-15 15:32:01.802000000,-5.175248
9,2004-10-15 15:32:07.335000064,-0.039926052,47.484573,-122.4993,10.822019,,,298.0,101.0,108.0,2004-10-15 15:32:07.335000064,-5.185397
10,2004-10-15 15:32:11.875999872,0.029944897,47.48458,-122.49929,10.827825,,,299.0,100.0,108.0,2004-10-15 15:32:11.875999872,-5.115264
11,2004-10-15 15:32:17.664000000,0.019963264,47.48459,-122.49928,10.833081,,,531.0,122.0,117.0,2004-10-15 15:32:17.664000000,-5.1252456
12,2004-10-15 15:32:25.050000000,-0.07985258,47.484596,-122.49927,10.793805,,,274.0,97.0,106.0,2004-10-15 15:32:25.050000000,-5.2249594
13,2004-10-15 15:32:31.115000064,-0.099815845,47.484608,-122.49926,10.762933,,,247.0,98.0,91.0,2004-10-15 15:32:31.115000064,-5.245676
14,2004-10-15 15:32:37.802999936,-0.059889317,47.484615,-122.499245,10.728888,,,278.0,100.0,101.0,2004-10-15 15:32:37.802999936,-5.205723
15,2004-10-15 15:32:43.861000064,-0.049907684,47.484627,-122.49923,10.701407,,,447.0,109.0,151.0,2004-10-15 15:32:43.861000064,-5.1957808
16,2004-10-15 15:32:49.902000000,-0.059889317,47.484634,-122.49922,10.741722,,,268.0,98.0,118.0,2004-10-15 15:32:49.902000000,-5.205113
17,2004-10-15 15:32:55.940999936,0.03992653,47.484642,-122.499214,10.778657,,,669.0,174.0,111.0,2004-10-15 15:32:55.940999936,-5.1052475
18,2004-10-15 15:33:03.654999936,0.03992653,47.484653,-122.4992,10.822292,,,267.0,96.0,98.0,2004-10-15 15:33:03.654999936,-5.1045127
19,2004-10-15 15:33:09.713000064,0.03992653,47.48466,-122.49918,10.773481,,,328.0,105.0,115.0,2004-10-15 15:33:09.713000064,-5.1047206
20,2004-10-15 15:33:15.772000128,0.08983421,47.48467,-122.499176,10.7291765,,,249.0,97.0,101.0,2004-10-15 15:33:15.772000128,-5.054302
21,2004-10-15 15:33:21.805000064,0.059889793,47.48468,-122.49916,10.6861725,,,328.0,115.0,206.0,2004-10-15 15:33:21.805000064,-5.0838275
22,2004-10-15 15:33:27.868999936,0.20961332,47.484688,-122.49915,10.666178,,,324.0,106.0,124.0,2004-10-15 15:33:27.868999936,-4.933236
23,2004-10-15 15:33:33.902000000,0.29944754,47.484695,-122.49914,10.662434,,,352.0,112.0,121.0,2004-10-15 15:33:33.902000000,-4.842388
24,2004-10-15 15:33:39.941999872,0.37930012,47.484703,-122.49913,10.66264,,,316.0,101.0,97.0,2004-10-15 15:33:39.941999872,-4.760071
25,2004-10-15 15:33:45.999000064,0.34935522,47.48471,-122.499115,10.653731,,,298.0,103.0,127.0,2004-10-15 15:33:45.999000064,-4.792235
26,2004-10-15 15:33:52.010999936,0.46913385,47.484722,-122.49911,10.645454,,,350.0,108.0,96.0,2004-10-15 15:33:52.010999936,-4.671404
27,2004-10-15 15:33:58.051000064,0.738636,47.48473,-122.49909,10.640525,,,331.0,102.0,115.0,2004-10-15 15:33:58.051000064,-4.401037
28,2004-10-15 15:34:04.065000064,1.0680268,47.484737,-122.499084,10.65039,,,303.0,103.0,108.0,2004-10-15 15:34:04.065000064,-4.0686665
