sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,ctd_time,ctd_depth
0,2004-10-15 16:05:52.303999872,0.45914176,47.49437,-122.443634,11.499743,,,2004-10-15 16:05:52.303999872,-0.07496468
1,2004-10-15 16:05:56.961999872,0.4990671,47.49437,-122.443634,11.473542,,,2004-10-15 16:05:56.961999872,-0.056834593
2,2004-10-15 16:06:02.404999936,0.6088617,47.494366,-122.443634,11.468346,,,2004-10-15 16:06:02.404999936,0.034030817
3,2004-10-15 16:06:07.674000000,0.5589551,47.494366,-122.443634,11.46204,,,2004-10-15 16:06:07.674000000,-0.0019169304
4,2004-10-15 16:06:12.624000128,0.51902974,47.494366,-122.443634,11.456377,,,2004-10-15 16:06:12.624000128,-0.036134727
5,2004-10-15 16:06:17.585000064,0.59888035,47.494366,-122.443634,11.452811,,,2004-10-15 16:06:17.585000064,0.03766613
6,2004-10-15 16:06:23.668999936,0.5589551,47.494366,-122.443634,11.409577,,,2004-10-15 16:06:23.668999936,-0.011436486
7,2004-10-15 16:06:28.816999936,0.59888035,47.49436,-122.443634,11.392469,,,2004-10-15 16:06:28.816999936,0.039745193
8,2004-10-15 16:06:33.915999872,0.5090484,47.49436,-122.44364,11.382996,,,2004-10-15 16:06:33.915999872,-0.03126745
9,2004-10-15 16:06:38.913000064,0.64878696,47.49436,-122.44364,11.367417,,,2004-10-15 16:06:38.913000064,0.08489644
10,2004-10-15 16:06:44.815000064,0.6088617,47.49436,-122.44364,11.380832,,,2004-10-15 16:06:44.815000064,0.044971146
11,2004-10-15 16:06:49.980000000,0.45914176,47.49436,-122.44364,11.392071,,,2004-10-15 16:06:49.980000000,-0.098930866
12,2004-10-15 16:06:58.184999936,0.5888991,47.494358,-122.44364,11.426083,,,2004-10-15 16:06:58.184999936,0.031183988
13,2004-10-15 16:07:04.772000128,0.5090484,47.494358,-122.44364,11.430894,,,2004-10-15 16:07:04.772000128,-0.05284517
14,2004-10-15 16:07:12.458000000,0.59888035,47.494358,-122.44364,11.437933,,,2004-10-15 16:07:12.458000000,0.021257272
15,2004-10-15 16:07:19.089999872,0.64878696,47.494358,-122.44364,11.442014,,,2004-10-15 16:07:19.089999872,0.07020127
16,2004-10-15 16:07:25.700999936,0.6587683,47.494354,-122.44364,11.458203,,,2004-10-15 16:07:25.700999936,0.078119874
17,2004-10-15 16:07:32.334000128,0.7086749,47.494354,-122.44364,11.476915,,,2004-10-15 16:07:32.334000128,0.12044934
18,2004-10-15 16:07:40.694000000,0.7985068,47.494354,-122.44364,11.480022,,,2004-10-15 16:07:40.694000000,0.20956251
19,2004-10-15 16:07:47.299000064,0.76856285,47.494354,-122.44364,11.483423,,,2004-10-15 16:07:47.299000064,0.18384418
20,2004-10-15 16:07:53.908999936,0.8084881,47.49435,-122.44364,11.557273,,,2004-10-15 16:07:53.908999936,0.21456887
21,2004-10-15 16:08:00.513000064,0.838432,47.49435,-122.44364,11.558379,,,2004-10-15 16:08:00.513000064,0.24603485
22,2004-10-15 16:08:08.868000000,0.7785441,47.49435,-122.44364,11.563766,,,2004-10-15 16:08:08.868000000,0.18717416
23,2004-10-15 16:08:15.470000000,0.9582077,47.49435,-122.44364,11.56732,,,2004-10-15 16:08:15.470000000,0.36411974
24,2004-10-15 16:08:22.680000128,1.0680021,47.494347,-122.44364,11.555189,,,2004-10-15 16:08:22.680000128,0.47369927
25,2004-10-15 16:08:29.187000064,1.0580208,47.494347,-122.44364,11.543693,,,2004-10-15 16:08:29.187000064,0.4646912
26,2004-10-15 16:08:36.487999872,1.1179086,47.494347,-122.44364,11.503869,,,2004-10-15 16:08:36.487999872,0.52358866
27,2004-10-15 16:08:43.015000064,1.4672538,47.494347,-122.44364,11.443509,,,2004-10-15 16:08:43.015000064,0.8729309
28,2004-10-15 16:08:49.592000000,1.7866546,47.494343,-122.44364,11.454312,,,2004-10-15 16:08:49.592000000,1.1932484
29,2004-10-15 16:08:56.198999936,2.155961,47.494343,-122.44364,11.266948,,,2004-10-15 16:08:56.198999936,1.5617641
30,2004-10-15 16:09:10.457000064,3.0043654,47.494343,-122.44364,11.05841,,,2004-10-15 16:09:10.457000064,2.4109595
31,2004-10-15 16:09:17.313999872,3.6231995,47.49434,-122.44364,11.058285,,,2004-10-15 16:09:17.313999872,3.0463169
32,2004-10-15 16:09:24.042000000,3.9725404,47.49434,-122.44364,11.06213,,,2004-10-15 16:09:24.042000000,3.5665684
33,2004-10-15 16:09:30.654999936,4.361805,47.494328,-122.443634,11.064507,29.368925,285.6802,2004-10-15 16:09:30.654999936,3.9879065
34,2004-10-15 16:09:38.756999936,5.050503,47.49431,-122.44362,11.051304,29.361368,285.77527,2004-10-15 16:09:38.756999936,4.688825
35,2004-10-15 16:09:49.138000000,6.03863,47.494278,-122.443596,11.002185,29.379236,286.04593,2004-10-15 16:09:49.138000000,5.6472726
36,2004-10-15 16:09:54.296000000,6.5277014,47.494255,-122.44358,10.905694,29.415316,286.5772,2004-10-15 16:09:54.296000000,6.1278296
