Variable Name,10/11/2024 Shilshole Shakedown (sg195)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2024_10_Shilshole_Shakedown_2
WMO (unique identifier assigned to a glider),sg195
Glider Name,Pigeon
Glider Model,Seaglider
Glider Serial Number,195
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory"
Agency roles,"Funding Agency, Operating Agency"
Start Date,2024-10-11T16:49:55.178000000
Deployment Latitude,47.7136°
Deployment Longitude,-122.397575°
Deployment Ship,Welander
End Date,2024-10-11T21:37:44.213000064
Oceangliders Site,"Puget Sound, WA, USA "
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Optode, Wetlabs"
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,
