dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,0.55824685,0.5208484,2024-11-19 14:23:46,2024-11-19 14:48:12,0.73215336,0.73855,-139.16643,-139.15863
1,0.79243577,0.45390272,2024-11-19 15:11:30,2024-11-19 15:49:06,0.74477834,0.7517167,-139.15373,-139.1369
2,0.8470664,0.37981606,2024-11-19 16:28:44,2024-11-19 17:36:26,0.76308835,0.7766,-139.128,-139.09816
3,0.7272527,0.33212078,2024-11-19 18:15:34,2024-11-19 19:57:33,0.78935,0.8067833,-139.08844,-139.0518
4,0.634533,0.31873527,2024-11-19 20:36:34,2024-11-19 22:19:02,0.82086,0.8485,-139.04358,-139.01306
5,0.23535083,0.09717319,2024-11-19 22:54:25,2024-11-20 04:35:41,0.86101335,0.8943,-139.00613,-138.9981
6,0.21540698,0.036085572,2024-11-20 05:01:07,2024-11-20 09:43:34,0.89991,0.86553335,-138.99197,-138.95976
7,0.23894463,0.062769815,2024-11-20 09:57:44,2024-11-20 14:01:05,0.8680417,0.8603167,-138.95573,-138.91168
8,0.15193497,0.043203857,2024-11-20 14:14:59,2024-11-20 19:59:54,0.86286336,0.8653,-138.90747,-138.92561
9,0.20300074,0.052342337,2024-11-20 21:07:25,2024-11-21 01:30:14,0.879345,0.89521664,-138.91469,-138.85431
10,0.16688456,0.005205204,2024-11-21 01:42:44,2024-11-21 06:00:35,0.8983667,0.8929667,-138.85228,-138.86096
11,0.1677258,0.009219977,2024-11-21 06:12:11,2024-11-21 10:34:23,0.89556,0.91653335,-138.85905,-138.80615
12,0.14668195,0.018150061,2024-11-21 10:52:58,2024-11-21 15:33:51,0.92277664,0.9253833,-138.80385,-138.82103
13,0.17911558,0.0020803132,2024-11-21 16:04:21,2024-11-21 20:38:42,0.93593836,0.9497,-138.81566,-138.75336
14,0.21408834,0.01303705,2024-11-21 21:01:34,2024-11-22 01:30:18,0.957325,0.9737667,-138.74927,-138.68369
15,0.24901418,0.05053517,2024-11-22 01:51:44,2024-11-22 06:15:23,0.98235,1.0051167,-138.68015,-138.62993
16,0.20445225,0.020660052,2024-11-22 06:21:50,2024-11-22 10:43:55,1.0071384,1.0267667,-138.629,-138.58403
