dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,-0.09347826,0.1256736,2005-09-27 23:01:35,2005-09-28 05:30:53,9.298063,9.32435,-143.6425,-143.66258
1,-0.06794373,0.0755766,2005-09-28 12:29:09,2005-09-28 19:01:49,9.343453,9.35935,-143.67468,-143.68933
2,-0.05488767,0.11158878,2005-09-28 19:09:12,2005-09-29 01:48:08,9.35948,9.383367,-143.69014,-143.7028
3,0.110949606,0.117578916,2005-09-29 01:58:49,2005-09-29 08:37:20,9.3837,9.400666,-143.70381,-143.71364
4,-0.053810365,0.04778808,2005-09-29 08:44:32,2005-09-29 15:24:26,9.400924,9.411317,-143.71407,-143.72658
5,-0.09087848,0.07061531,2005-09-29 15:31:25,2005-09-29 22:09:21,9.411625,9.42665,-143.72688,-143.7471
6,-0.046306744,0.121648625,2005-09-29 22:17:01,2005-09-30 04:46:14,9.426813,9.45425,-143.74783,-143.76709
7,-0.069720246,0.12566005,2005-09-30 04:53:30,2005-09-30 11:34:20,9.454721,9.481934,-143.76779,-143.7834
8,-0.071588084,0.08266742,2005-09-30 11:41:44,2005-09-30 18:18:42,9.48186,9.4997,-143.78383,-143.79987
9,-0.0457573,0.12172033,2005-09-30 18:25:54,2005-10-01 01:11:57,9.500223,9.5267,-143.8008,-143.8114
10,-0.042810373,0.08534151,2005-10-01 01:21:10,2005-10-01 07:58:10,9.5268,9.545016,-143.81233,-143.82251
11,-0.042401165,0.05402037,2005-10-01 08:05:17,2005-10-01 14:46:23,9.545274,9.556883,-143.8236,-143.83351
12,-0.07476076,0.06825158,2005-10-01 14:53:17,2005-10-01 21:39:47,9.557487,9.572433,-143.83414,-143.85115
13,-0.051174387,0.09944674,2005-10-01 21:50:33,2005-10-02 04:31:08,9.573314,9.594867,-143.85197,-143.86362
14,-0.057546537,0.13489439,2005-10-02 04:37:55,2005-10-02 11:20:14,9.595513,9.624833,-143.86449,-143.87782
15,-0.05500191,0.06613444,2005-10-02 11:27:51,2005-10-02 18:07:03,9.62624,9.640516,-143.87767,-143.89034
16,-0.05403722,0.10759133,2005-10-02 18:14:01,2005-10-03 00:56:09,9.641137,9.664383,-143.89066,-143.90312
17,0.117583774,0.10079621,2005-10-03 01:03:37,2005-10-03 07:36:41,9.6649065,9.68225,-143.90341,-143.91298
18,0.121867865,0.07918646,2005-10-03 07:47:52,2005-10-03 14:19:29,9.68205,9.69435,-143.91406,-143.92465
19,-0.06130204,0.060915798,2005-10-03 14:27:01,2005-10-03 21:06:34,9.69455,9.707367,-143.92508,-143.9387
20,0.10626039,0.06269235,2005-10-03 21:14:05,2005-10-04 03:55:09,9.7073965,9.7264,-143.9397,-143.95251
21,0.048451833,0.0708815,2005-10-04 04:02:16,2005-10-04 10:38:12,9.72725,9.745833,-143.9535,-143.97275
22,0.060357656,0.051576223,2005-10-04 10:45:07,2005-10-04 17:29:42,9.74654,9.763033,-143.97383,-143.99052
23,-0.0817549,0.10358802,2005-10-04 17:37:06,2005-10-05 00:23:52,9.76373,9.78665,-143.99098,-144.00954
24,-0.04968122,0.10421765,2005-10-05 00:31:22,2005-10-05 07:22:23,9.787735,9.8108835,-144.01031,-144.02199
25,-0.052461896,0.10173389,2005-10-05 07:29:58,2005-10-05 14:11:09,9.812003,9.834217,-144.0223,-144.03667
26,-0.05898386,0.06968451,2005-10-05 14:18:14,2005-10-05 20:49:44,9.834813,9.849617,-144.0363,-144.04945
27,-0.048173968,0.075382136,2005-10-05 20:56:44,2005-10-06 03:38:10,9.849365,9.865666,-144.04964,-144.06075
28,-0.050781805,0.053680852,2005-10-06 03:49:06,2005-10-06 10:31:20,9.86576,9.8772,-144.06064,-144.0722
29,0.047019415,0.017693521,2005-10-06 10:38:34,2005-10-06 17:16:33,9.876732,9.88435,-144.07306,-144.08847
30,-0.073168926,0.06490833,2005-10-06 17:23:43,2005-10-07 00:11:28,9.884553,9.89905,-144.0891,-144.10573
31,-0.09076799,0.08850707,2005-10-07 00:27:01,2005-10-07 07:06:06,9.90004,9.919316,-144.10837,-144.12872
32,-0.09874626,0.08294439,2005-10-07 07:13:26,2005-10-07 13:48:23,9.919797,9.93765,-144.12993,-144.1517
33,-0.07276966,0.10428701,2005-10-07 13:55:44,2005-10-07 20:34:37,9.93914,9.961634,-144.15208,-144.1683
34,0.054399338,0.05697535,2005-10-07 20:43:19,2005-10-08 03:28:48,9.962263,9.98025,-144.16891,-144.18178
35,0.06362265,0.02716282,2005-10-08 03:36:14,2005-10-08 10:17:45,9.98086,9.992467,-144.18149,-144.19328
36,-0.09558485,0.058785804,2005-10-08 10:27:10,2005-10-08 17:09:22,9.993013,10.006033,-144.19386,-144.21526
37,0.05727623,0.03314489,2005-10-08 17:16:30,2005-10-08 23:53:30,10.006285,10.022183,-144.21524,-144.22755
38,-0.08125098,0.06450831,2005-10-09 00:00:50,2005-10-09 06:31:35,10.022123,10.03575,-144.22801,-144.2458
39,-0.07517743,0.016066931,2005-10-09 06:38:50,2005-10-09 13:17:20,10.035825,10.039333,-144.24654,-144.26321
40,-0.07873192,0.08429942,2005-10-09 13:24:25,2005-10-09 20:08:11,10.039197,10.057567,-144.26344,-144.28137
41,-0.08705926,0.05894286,2005-10-09 20:15:43,2005-10-10 02:58:36,10.058145,10.071234,-144.28268,-144.30206
