sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,PAR_470nm,particle_concentration_700nm,chlorophyll_695nm,dive_number,ctd_time,ctd_depth
0,2044-12-23 23:02:32.234999936,0.3503034,9.298063,-143.6425,26.847301,,,,,,661,2005-09-27 23:02:32.234999936,-0.22780453
1,2044-12-23 23:02:42.232000128,0.13011277,9.298069,-143.6425,26.8914,,,,,,661,2005-09-27 23:02:42.232000128,-0.44701847
2,2044-12-23 23:02:52.233000064,0.26022545,9.29808,-143.6425,26.935516,,,,,,661,2005-09-27 23:02:52.233000064,-0.33114454
3,2044-12-23 23:03:02.232000128,0.11009542,9.298092,-143.64252,26.979624,,,,,,661,2005-09-27 23:03:02.232000128,-0.47798103
4,2044-12-23 23:03:12.233000064,0.31026876,9.298102,-143.64253,27.023739,,,,,,661,2005-09-27 23:03:12.233000064,-0.25094548
5,2044-12-23 23:03:22.232000128,0.17014745,9.298114,-143.64253,27.067846,,,,,,661,2005-09-27 23:03:22.232000128,-0.37059966
6,2044-12-23 23:03:30.986000000,0.2402081,9.298124,-143.64255,27.10632,,,,,,661,2005-09-27 23:03:30.986000000,-0.3435596
7,2044-12-23 23:03:40.950999936,0.26022545,9.298136,-143.64255,27.145748,,,,,,661,2005-09-27 23:03:40.950999936,-0.31538802
8,2044-12-23 23:03:50.891000064,0.34029475,9.298146,-143.64256,27.1852,,,,,,661,2005-09-27 23:03:50.891000064,-0.22801453
9,2044-12-23 23:04:00.990000000,0.6805889,9.298158,-143.64256,27.225285,,,,,,661,2005-09-27 23:04:00.990000000,0.08631108
10,2044-12-23 23:04:10.934999936,0.980848,9.298169,-143.64258,27.264755,,,,,,661,2005-09-27 23:04:10.934999936,0.38659477
11,2044-12-23 23:04:20.875999872,1.2911153,9.298181,-143.64258,27.305593,,,,,,661,2005-09-27 23:04:20.875999872,0.6968068
12,2044-12-23 23:04:30.973000064,1.8816227,9.298192,-143.6426,27.393167,,,,,,661,2005-09-27 23:04:30.973000064,1.2900198
13,2044-12-23 23:04:40.887000064,2.8524532,9.298203,-143.6426,27.475351,34.7183,203.33246,,,,661,2005-09-27 23:04:40.887000064,2.2583027
14,2044-12-23 23:04:56.796999936,6.0451517,9.29822,-143.64261,27.503073,34.718952,203.23889,,,,661,2005-09-27 23:04:56.796999936,5.4510937
15,2044-12-23 23:05:05.627000064,7.6865196,9.298234,-143.64261,27.501408,34.714798,203.24919,,,,661,2005-09-27 23:05:05.627000064,7.1962233
16,2044-12-23 23:05:14.967000064,8.927546,9.298246,-143.64261,27.510286,34.71007,203.22485,,,,661,2005-09-27 23:05:14.967000064,8.538535
17,2044-12-23 23:05:30.470000000,11.049281,9.298266,-143.64261,27.494982,34.71449,203.27106,,,,661,2005-09-27 23:05:30.470000000,10.613315
18,2044-12-23 23:05:40.941999872,12.450416,9.298291,-143.64261,27.484186,34.71724,203.30408,,,,661,2005-09-27 23:05:40.941999872,12.046722
19,2044-12-23 23:05:50.941999872,13.811508,9.298312,-143.6426,27.486038,34.713135,203.30255,,,,661,2005-09-27 23:05:50.941999872,13.389904
20,2044-12-23 23:06:01.408999936,15.292687,9.298335,-143.64261,27.46392,34.72127,203.36739,,,,661,2005-09-27 23:06:01.408999936,14.874018
21,2044-12-23 23:06:11.411000064,16.51365,9.298359,-143.64261,27.45027,34.72444,203.40952,,,,661,2005-09-27 23:06:11.411000064,16.104658
22,2044-12-23 23:06:21.823999872,18.054857,9.298383,-143.64261,27.447906,34.72226,203.41994,,,,661,2005-09-27 23:06:21.823999872,17.657293
23,2044-12-23 23:06:31.823999872,19.275805,9.298408,-143.64262,27.43698,34.725124,203.45331,,,,661,2005-09-27 23:06:31.823999872,18.867565
24,2044-12-23 23:06:42.233000064,20.686892,9.298432,-143.64262,27.42005,34.731617,203.50269,,,,661,2005-09-27 23:06:42.233000064,20.277145
25,2044-12-23 23:06:51.662000000,21.927837,9.298456,-143.64264,27.412413,34.731247,203.52873,,,,661,2005-09-27 23:06:51.662000000,21.520353
26,2044-12-23 23:07:02.233000064,23.418964,9.29848,-143.64265,27.408249,34.730415,203.54366,,,,661,2005-09-27 23:07:02.233000064,23.015272
27,2044-12-23 23:07:12.233000064,24.689919,9.298502,-143.64267,27.405582,34.720825,203.56357,,,,661,2005-09-27 23:07:12.233000064,24.290047
28,2044-12-23 23:07:22.586000000,26.16101,9.298523,-143.64268,27.405025,34.720337,203.566,,,,661,2005-09-27 23:07:22.586000000,25.763447
29,2044-12-23 23:07:32.884000000,27.351889,9.298542,-143.6427,27.404095,34.720898,203.56848,,,,661,2005-09-27 23:07:32.884000000,26.953552
