sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,ctd_time,ctd_depth
0,2025-02-21 17:47:28.464000000,0.85837704,47.71715,-122.3978,8.625915,,,2025-02-21 17:47:28.464000000,0.26482195
1,2025-02-21 17:47:38.464000000,0.8384148,47.717148,-122.397804,8.621209,,,2025-02-21 17:47:38.464000000,0.2444582
2,2025-02-21 17:47:48.484999936,0.94820696,47.717148,-122.39781,8.616666,,,2025-02-21 17:47:48.484999936,0.35392913
3,2025-02-21 17:47:58.472000000,0.92824477,47.717148,-122.39782,8.618536,,,2025-02-21 17:47:58.472000000,0.33392373
4,2025-02-21 17:48:08.474999808,0.87833923,47.717148,-122.39783,8.644433,,,2025-02-21 17:48:08.474999808,0.28402853
5,2025-02-21 17:48:18.457999872,0.8983014,47.717148,-122.39784,8.687403,,,2025-02-21 17:48:18.457999872,0.30433393
6,2025-02-21 17:48:29.773999872,0.8184526,47.717144,-122.39785,8.691161,,,2025-02-21 17:48:29.773999872,0.22493482
7,2025-02-21 17:48:38.467000064,0.94820696,47.717144,-122.39786,8.69333,,,2025-02-21 17:48:38.467000064,0.35458478
8,2025-02-21 17:48:48.489000192,0.87833923,47.717144,-122.397865,8.648498,,,2025-02-21 17:48:48.489000192,0.28505197
9,2025-02-21 17:48:58.467000064,0.94820696,47.717144,-122.39787,8.6455,,,2025-02-21 17:48:58.467000064,0.3553197
10,2025-02-21 17:49:08.515000064,1.1079046,47.717144,-122.39788,8.660703,,,2025-02-21 17:49:08.515000064,0.51993334
11,2025-02-21 17:49:18.484000000,1.656864,47.717144,-122.39789,8.660619,,,2025-02-21 17:49:18.484000000,1.0668256
12,2025-02-21 17:49:30.469000192,4.3716965,47.717133,-122.397896,8.656177,29.624147,300.75366,2025-02-21 17:49:30.469000192,3.7797115
13,2025-02-21 17:49:39.224000000,5.908755,47.71711,-122.3979,8.663389,29.739632,300.4799,2025-02-21 17:49:39.224000000,5.3478827
14,2025-02-21 17:49:54.812000000,7.415859,47.717087,-122.397896,8.663551,29.77651,300.407,2025-02-21 17:49:54.812000000,7.048447
15,2025-02-21 17:50:05.092000000,8.433897,47.717064,-122.39789,8.6637125,29.783674,300.39197,2025-02-21 17:50:05.092000000,8.062422
16,2025-02-21 17:50:15.371000064,9.431968,47.717045,-122.39788,8.663529,29.788858,300.38312,2025-02-21 17:50:15.371000064,9.060493
17,2025-02-21 17:50:25.658999808,10.370151,47.71703,-122.397865,8.663379,29.794363,300.3734,2025-02-21 17:50:25.658999808,9.999486
18,2025-02-21 17:50:36.592999936,11.388173,47.717014,-122.39785,8.66354,29.802164,300.35715,2025-02-21 17:50:36.592999936,11.016699
19,2025-02-21 17:50:46.872999936,12.326347,47.717,-122.397835,8.663379,29.809483,300.344,2025-02-21 17:50:46.872999936,11.955683
20,2025-02-21 17:50:57.152000000,13.244555,47.716984,-122.39782,8.663549,29.815338,300.33145,2025-02-21 17:50:57.152000000,12.874702
21,2025-02-21 17:51:07.434000128,14.212662,47.716972,-122.397804,8.663717,29.818691,300.3238,2025-02-21 17:51:07.434000128,13.841997
22,2025-02-21 17:51:18.359000064,15.190744,47.71696,-122.39779,8.6637125,29.821218,300.3189,2025-02-21 17:51:18.359000064,14.821703
23,2025-02-21 17:51:28.658999808,16.098959,47.71695,-122.397766,8.663717,29.822716,300.31595,2025-02-21 17:51:28.658999808,15.7299185
24,2025-02-21 17:51:38.941999872,16.977228,47.71694,-122.39774,8.663874,29.82324,300.31387,2025-02-21 17:51:38.941999872,16.60333
25,2025-02-21 17:51:49.226000128,17.935337,47.716934,-122.39773,8.663699,29.824015,300.31354,2025-02-21 17:51:49.226000128,17.566298
26,2025-02-21 17:52:00.342000128,18.833559,47.71693,-122.397705,8.663351,29.825392,300.31323,2025-02-21 17:52:00.342000128,18.46452
27,2025-02-21 17:52:10.617000192,19.81162,47.716923,-122.397675,8.662672,29.82596,300.31668,2025-02-21 17:52:10.617000192,19.441767
28,2025-02-21 17:52:20.904000000,20.719814,47.716923,-122.39766,8.661949,29.82681,300.31992,2025-02-21 17:52:20.904000000,20.346722
29,2025-02-21 17:52:31.184000000,21.618025,47.71692,-122.39764,8.658786,29.832302,300.3306,2025-02-21 17:52:31.184000000,21.244932
30,2025-02-21 17:52:41.879000064,22.655952,47.71692,-122.397606,8.651576,29.843578,300.35736,2025-02-21 17:52:41.879000064,22.285288
31,2025-02-21 17:52:52.152000000,23.584093,47.71692,-122.39758,8.644952,29.85559,300.37872,2025-02-21 17:52:52.152000000,23.21181
32,2025-02-21 17:53:02.434000128,24.432392,47.716923,-122.39756,8.6436405,29.85812,300.38266,2025-02-21 17:53:02.434000128,24.061728
33,2025-02-21 17:53:12.720000000,25.360525,47.716927,-122.397545,8.642827,29.860352,300.38382,2025-02-21 17:53:12.720000000,24.994745
34,2025-02-21 17:53:23.434000128,26.448332,47.71693,-122.39752,8.641856,29.865383,300.38058,2025-02-21 17:53:23.434000128,26.080921
35,2025-02-21 17:53:33.709000192,27.346518,47.716934,-122.3975,8.641724,29.867125,300.37808,2025-02-21 17:53:33.709000192,26.977476
36,2025-02-21 17:53:43.994999808,28.414354,47.71694,-122.39748,8.641737,29.867666,300.37692,2025-02-21 17:53:43.994999808,28.046127
37,2025-02-21 17:53:54.280000000,29.212734,47.716953,-122.39746,8.64205,29.867739,300.3747,2025-02-21 17:53:54.280000000,28.845322
38,2025-02-21 17:54:05.098000128,30.280561,47.71696,-122.39744,8.641714,29.869793,300.37296,2025-02-21 17:54:05.098000128,29.913149
