sg_data_point,time,depth_corrected,latitude,longitude,temperature,salinity,dissolved_oxygen,instrument_dissolved_oxygen,PAR_470nm,particle_concentration_700nm,chlorophyll_695nm,ctd_time,ctd_depth
0,2004-10-01 15:51:12.190000000,0.0,47.617268,-122.38457,12.076138,,,,211.0,790.0,502.0,2004-10-01 15:51:12.190000000,0.42295298
1,2004-10-01 15:51:16.839999872,0.17966133,47.617268,-122.38457,12.074898,,,,185.0,765.0,431.0,2004-10-01 15:51:16.839999872,0.5937693
2,2004-10-01 15:51:22.286999936,0.029943526,47.61727,-122.38456,12.073699,,,,182.0,777.0,486.0,2004-10-01 15:51:22.286999936,0.45518428
3,2004-10-01 15:51:27.548000128,-0.009981215,47.61727,-122.38455,12.07714,,,,188.0,783.0,448.0,2004-10-01 15:51:27.548000128,0.42262536
4,2004-10-01 15:51:32.492000128,0.01996237,47.61727,-122.384544,12.081042,,,,182.0,1075.0,500.0,2004-10-01 15:51:32.492000128,0.43353635
5,2004-10-01 15:51:37.448999936,0.0898307,47.61727,-122.38454,12.0795965,,,,174.0,799.0,483.0,2004-10-01 15:51:37.448999936,0.5096619
6,2004-10-01 15:51:42.839999872,-0.069868386,47.61727,-122.38453,12.078372,,,,202.0,721.0,456.0,2004-10-01 15:51:42.839999872,0.35537234
7,2004-10-01 15:51:47.996000000,0.05988711,47.617275,-122.38452,12.077414,,,,255.0,886.0,578.0,2004-10-01 15:51:47.996000000,0.49249372
8,2004-10-01 15:51:53.086999936,-0.01996243,47.617275,-122.384514,12.080091,,,,182.0,836.0,515.0,2004-10-01 15:51:53.086999936,0.3957894
9,2004-10-01 15:51:58.089999872,0.06986827,47.617275,-122.38451,12.082053,,,,210.0,730.0,545.0,2004-10-01 15:51:58.089999872,0.49000397
10,2004-10-01 15:52:04.336999936,0.049905956,47.617275,-122.3845,12.08275,,,,188.0,859.0,565.0,2004-10-01 15:52:04.336999936,0.4817787
11,2004-10-01 15:52:09.948000000,0.09981185,47.61728,-122.38449,12.082346,,,,194.0,998.0,475.0,2004-10-01 15:52:09.948000000,0.51365197
12,2004-10-01 15:52:18.118000000,0.07984954,47.61728,-122.384476,12.083543,,,,182.0,1202.0,668.0,2004-10-01 15:52:18.118000000,0.5095615
13,2004-10-01 15:52:24.700000000,0.07984954,47.61728,-122.38447,12.08445,,,,196.0,732.0,507.0,2004-10-01 15:52:24.700000000,0.49848047
14,2004-10-01 15:52:31.637000064,0.2395485,47.61728,-122.38445,12.085094,,,,171.0,736.0,520.0,2004-10-01 15:52:31.637000064,0.64553523
15,2004-10-01 15:52:39.969000064,0.1397366,47.617283,-122.384445,12.08675,,,,217.0,722.0,426.0,2004-10-01 15:52:39.969000064,0.5488207
16,2004-10-01 15:52:46.558000128,0.16968018,47.617283,-122.38444,12.087204,,,,261.0,1034.0,612.0,2004-10-01 15:52:46.558000128,0.5765165
17,2004-10-01 15:52:53.137000064,0.25951082,47.617283,-122.38442,12.089584,,,,185.0,933.0,581.0,2004-10-01 15:52:53.137000064,0.662204
18,2004-10-01 15:52:59.750000000,0.27947313,47.617287,-122.384415,12.087279,,,,176.0,689.0,631.0,2004-10-01 15:52:59.750000000,0.683846
19,2004-10-01 15:53:08.082000000,0.29943556,47.617287,-122.3844,12.084156,,,,181.0,1053.0,536.0,2004-10-01 15:53:08.082000000,0.69501555
20,2004-10-01 15:53:14.661000064,0.41920966,47.617287,-122.38439,12.081776,,,,187.0,875.0,517.0,2004-10-01 15:53:14.661000064,0.81747514
21,2004-10-01 15:53:21.289000064,0.46911556,47.61729,-122.384384,12.081643,,,,229.0,802.0,578.0,2004-10-01 15:53:21.289000064,0.86381006
22,2004-10-01 15:53:27.872000000,0.5789084,47.61729,-122.38437,12.080783,,,,236.0,871.0,647.0,2004-10-01 15:53:27.872000000,0.9727956
23,2004-10-01 15:53:35.974999936,0.618833,47.61729,-122.38436,12.079719,,,,268.0,718.0,573.0,2004-10-01 15:53:35.974999936,1.0126506
24,2004-10-01 15:53:42.563999872,0.73860687,47.617294,-122.38435,12.078329,,,,195.0,848.0,772.0,2004-10-01 15:53:42.563999872,1.1324791
25,2004-10-01 15:53:49.164000000,1.018079,47.617294,-122.38434,12.078633,,,,204.0,885.0,706.0,2004-10-01 15:53:49.164000000,1.4128135
26,2004-10-01 15:54:02.198999936,1.8065879,47.617294,-122.38432,12.0730095,,,,275.0,842.0,916.0,2004-10-01 15:54:02.198999936,2.2015672
27,2004-10-01 15:54:10.427000064,1.9762666,47.6173,-122.38431,12.07235,,,,198.0,1495.0,935.0,2004-10-01 15:54:10.427000064,2.4118762
28,2004-10-01 15:54:17.058000128,1.9662855,47.6173,-122.3843,12.072704,,,,256.0,748.0,754.0,2004-10-01 15:54:17.058000128,2.6111188
29,2004-10-01 15:54:23.663000064,2.0760775,47.6173,-122.384285,12.072593,,,,187.0,640.0,644.0,2004-10-01 15:54:23.663000064,2.6895134
30,2004-10-01 15:54:30.296000000,2.495283,47.61729,-122.38427,12.0635805,28.782486,371.5504,397.68445,221.0,868.0,867.0,2004-10-01 15:54:30.296000000,3.0967712
31,2004-10-01 15:54:38.178000000,2.9544117,47.61727,-122.38423,12.060636,28.776218,372.1875,398.358,294.0,970.0,1034.0,2004-10-01 15:54:38.178000000,3.577591
32,2004-10-01 15:54:44.816000000,3.5732355,47.61725,-122.384186,12.055871,28.778503,372.69693,399.05212,225.0,980.0,1080.0,2004-10-01 15:54:44.816000000,4.2063184
33,2004-10-01 15:54:51.450999936,4.271906,47.61723,-122.38415,12.058135,28.770393,373.06445,399.71146,248.0,938.0,989.0,2004-10-01 15:54:51.450999936,4.9066544
34,2004-10-01 15:54:58.220999936,5.1302686,47.617214,-122.3841,12.05613,28.775812,373.02267,399.69922,217.0,844.0,861.0,2004-10-01 15:54:58.220999936,5.780201
35,2004-10-01 15:55:09.520000000,6.4677105,47.617195,-122.38403,12.014298,28.801292,373.58743,399.96524,226.0,1008.0,882.0,2004-10-01 15:55:09.520000000,7.116791
