sg_data_point,time,depth,latitude,longitude,temperature,salinity,dissolved_oxygen_sat,ctd_time,ctd_depth
0,2004-10-01 15:51:12.190000000,0.9881405,47.617268,-122.38457,12.076138,,,2004-10-01 15:51:12.190000000,0.42295298
1,2004-10-01 15:51:16.839999872,1.1678019,47.617268,-122.38457,12.074898,,,2004-10-01 15:51:16.839999872,0.5937693
2,2004-10-01 15:51:22.286999936,1.018084,47.61727,-122.38456,12.073699,,,2004-10-01 15:51:22.286999936,0.45518428
3,2004-10-01 15:51:27.548000128,0.9781593,47.61727,-122.38455,12.07714,,,2004-10-01 15:51:27.548000128,0.42262536
4,2004-10-01 15:51:32.492000128,1.0081029,47.61727,-122.384544,12.081042,,,2004-10-01 15:51:32.492000128,0.43353635
5,2004-10-01 15:51:37.448999936,1.0779712,47.61727,-122.38454,12.0795965,,,2004-10-01 15:51:37.448999936,0.5096619
6,2004-10-01 15:51:42.839999872,0.91827214,47.61727,-122.38453,12.078372,,,2004-10-01 15:51:42.839999872,0.35537234
7,2004-10-01 15:51:47.996000000,1.0480276,47.617275,-122.38452,12.077414,,,2004-10-01 15:51:47.996000000,0.49249372
8,2004-10-01 15:51:53.086999936,0.9681781,47.617275,-122.384514,12.080091,,,2004-10-01 15:51:53.086999936,0.3957894
9,2004-10-01 15:51:58.089999872,1.0580088,47.617275,-122.38451,12.082053,,,2004-10-01 15:51:58.089999872,0.49000397
10,2004-10-01 15:52:04.336999936,1.0380465,47.617275,-122.3845,12.08275,,,2004-10-01 15:52:04.336999936,0.4817787
11,2004-10-01 15:52:09.948000000,1.0879524,47.61728,-122.38449,12.082346,,,2004-10-01 15:52:09.948000000,0.51365197
12,2004-10-01 15:52:18.118000000,1.0679901,47.61728,-122.384476,12.083543,,,2004-10-01 15:52:18.118000000,0.5095615
13,2004-10-01 15:52:24.700000000,1.0679901,47.61728,-122.38447,12.08445,,,2004-10-01 15:52:24.700000000,0.49848047
14,2004-10-01 15:52:31.637000064,1.227689,47.61728,-122.38445,12.085094,,,2004-10-01 15:52:31.637000064,0.64553523
15,2004-10-01 15:52:39.969000064,1.1278771,47.617283,-122.384445,12.08675,,,2004-10-01 15:52:39.969000064,0.5488207
16,2004-10-01 15:52:46.558000128,1.1578207,47.617283,-122.38444,12.087204,,,2004-10-01 15:52:46.558000128,0.5765165
17,2004-10-01 15:52:53.137000064,1.2476513,47.617283,-122.38442,12.089584,,,2004-10-01 15:52:53.137000064,0.662204
18,2004-10-01 15:52:59.750000000,1.2676136,47.617287,-122.384415,12.087279,,,2004-10-01 15:52:59.750000000,0.683846
19,2004-10-01 15:53:08.082000000,1.2875761,47.617287,-122.3844,12.084156,,,2004-10-01 15:53:08.082000000,0.69501555
20,2004-10-01 15:53:14.661000064,1.4073502,47.617287,-122.38439,12.081776,,,2004-10-01 15:53:14.661000064,0.81747514
21,2004-10-01 15:53:21.289000064,1.4572561,47.61729,-122.384384,12.081643,,,2004-10-01 15:53:21.289000064,0.86381006
22,2004-10-01 15:53:27.872000000,1.5670489,47.61729,-122.38437,12.080783,,,2004-10-01 15:53:27.872000000,0.9727956
23,2004-10-01 15:53:35.974999936,1.6069735,47.61729,-122.38436,12.079719,,,2004-10-01 15:53:35.974999936,1.0126506
24,2004-10-01 15:53:42.563999872,1.7267474,47.617294,-122.38435,12.078329,,,2004-10-01 15:53:42.563999872,1.1324791
25,2004-10-01 15:53:49.164000000,2.0062196,47.617294,-122.38434,12.078633,,,2004-10-01 15:53:49.164000000,1.4128135
26,2004-10-01 15:54:02.198999936,2.7947285,47.617294,-122.38432,12.0730095,,,2004-10-01 15:54:02.198999936,2.2015672
27,2004-10-01 15:54:10.427000064,2.9644072,47.6173,-122.38431,12.07235,,,2004-10-01 15:54:10.427000064,2.4118762
28,2004-10-01 15:54:17.058000128,2.954426,47.6173,-122.3843,12.072704,,,2004-10-01 15:54:17.058000128,2.6111188
29,2004-10-01 15:54:23.663000064,3.064218,47.6173,-122.384285,12.072593,,,2004-10-01 15:54:23.663000064,2.6895134
30,2004-10-01 15:54:30.296000000,3.4834235,47.61729,-122.38427,12.0635805,28.782486,280.67773,2004-10-01 15:54:30.296000000,3.0967712
31,2004-10-01 15:54:38.178000000,3.9425523,47.61727,-122.38423,12.060636,28.776218,280.70636,2004-10-01 15:54:38.178000000,3.577591
32,2004-10-01 15:54:44.816000000,4.561376,47.61725,-122.384186,12.055871,28.778503,280.7307,2004-10-01 15:54:44.816000000,4.2063184
33,2004-10-01 15:54:51.450999936,5.2600465,47.61723,-122.38415,12.058135,28.770393,280.73157,2004-10-01 15:54:51.450999936,4.9066544
34,2004-10-01 15:54:58.220999936,6.118409,47.617214,-122.3841,12.05613,28.775812,280.73392,2004-10-01 15:54:58.220999936,5.780201
35,2004-10-01 15:55:09.520000000,7.455851,47.617195,-122.38403,12.014298,28.801292,280.9383,2004-10-01 15:55:09.520000000,7.116791
