Variable Name,05/30/2025 Time Series (sg175)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2025_05_30_timeseries
WMO (unique identifier assigned to a glider),sg175
Glider Name,Chick-a-dee
Glider Model,Seaglider
Glider Serial Number,175
Contacts (PI Mandatory),"Katie Kohlman, William Menapace, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist,  Mission Planner, Data Manager & Lead Pilot"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), University of Washinton Leo Cup, Applied Physics Laboratory"
Agency roles,"Funding Agency, Funding Agency, Operating Agency"
Start Date,2025-05-30T12:28:00Z
Deployment Latitude,47.83813°
Deployment Longitude,-122.4134°
Deployment Ship,Dadilest Catch
End Date,2025-06-13T9:47:00Z
Oceangliders Site,"Puget Sound, WA, USA (not yet an offical Oceangliders Site)"
Network,Applied Physics Lab IOP Seaglider
Sensor Model,CT Sail
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,10/9/2024
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,
