dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,-0.06786121,-0.1411305,2025-05-30 18:08:11,2025-05-30 18:34:57,47.858097,47.856716,-122.34718,-122.34898
1,-0.09728721,-0.081277296,2025-05-30 18:49:27,2025-05-30 19:30:35,47.852547,47.853035,-122.35145,-122.35723
2,-0.095351346,-0.092397936,2025-05-30 19:44:41,2025-05-30 20:32:08,47.850536,47.85005,-122.35993,-122.365234
3,-0.05792458,-0.0743506,2025-05-30 20:41:58,2025-05-30 21:25:41,47.84864,47.84815,-122.36742,-122.37054
4,-0.015226301,-0.025594134,2025-05-30 21:42:02,2025-05-30 22:26:07,47.846622,47.84745,-122.373695,-122.37497
5,0.014551828,-0.039052293,2025-05-30 22:36:03,2025-05-30 23:14:09,47.846752,47.846283,-122.376205,-122.37463
6,0.031118419,0.011811985,2025-05-30 23:32:26,2025-05-31 00:12:49,47.84494,47.845234,-122.37764,-122.37828
7,0.10410444,0.058433235,2025-05-31 00:41:05,2025-05-31 01:27:02,47.843693,47.844566,-122.38086,-122.37763
8,0.08692778,0.118136875,2025-05-31 01:33:41,2025-05-31 02:12:43,47.844555,47.846367,-122.37806,-122.3763
9,0.099738196,0.10534377,2025-05-31 02:18:55,2025-05-31 02:58:13,47.84642,47.847816,-122.37651,-122.374565
10,0.0936444,0.079052605,2025-05-31 03:04:48,2025-05-31 03:43:46,47.84754,47.8494,-122.37412,-122.374435
11,0.056859665,0.06763015,2025-05-31 03:49:58,2025-05-31 04:28:55,47.848877,47.849785,-122.373276,-122.37552
12,0.0459054,0.07040199,2025-05-31 04:35:08,2025-05-31 05:24:11,47.84934,47.850067,-122.37539,-122.37895
13,-0.012437952,0.01320136,2025-05-31 05:30:52,2025-05-31 06:19:43,47.849854,47.84855,-122.379036,-122.38406
14,-0.0986532,0.0096643185,2025-05-31 06:26:26,2025-05-31 07:21:44,47.847095,47.848183,-122.38498,-122.39525
15,-0.15004057,0.03705393,2025-05-31 07:28:14,2025-05-31 08:11:19,47.8475,47.849083,-122.39775,-122.404816
16,-0.19353966,0.029619701,2025-05-31 08:17:24,2025-05-31 08:59:25,47.848755,47.850735,-122.40765,-122.417015
17,-0.18226556,-0.0203008,2025-05-31 09:05:45,2025-05-31 09:54:56,47.85014,47.849,-122.42093,-122.42145
18,-0.098015144,-0.026351042,2025-05-31 10:01:31,2025-05-31 10:50:18,47.84803,47.848,-122.4257,-122.42236
