dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,-0.10939731,0.055041257,2025-05-30 19:25:05,2025-05-30 19:43:46,47.8359,47.83615,-122.421234,-122.422066
1,-0.011338765,0.0872663,2025-05-30 19:54:23,2025-05-30 20:31:17,47.834682,47.835285,-122.427284,-122.42458
2,0.038509287,0.021736423,2025-05-30 20:42:53,2025-05-30 21:24:59,47.83433,47.833084,-122.42972,-122.42502
3,0.14134239,-0.03030768,2025-05-30 21:40:11,2025-05-30 22:33:03,47.832516,47.830284,-122.430984,-122.41995
4,0.10380641,-0.03662116,2025-05-30 22:59:35,2025-05-30 23:33:40,47.828182,47.828785,-122.425186,-122.41932
5,0.10808581,-0.021296225,2025-05-30 23:44:35,2025-05-31 00:19:11,47.82823,47.82987,-122.42045,-122.41489
6,0.09240582,0.048294015,2025-05-31 00:30:23,2025-05-31 01:06:33,47.82985,47.833485,-122.41507,-122.41223
7,0.12353054,-0.19770248,2025-05-31 01:17:17,2025-05-31 01:51:05,47.833084,47.82733,-122.41348,-122.41092
8,0.054159995,-0.14561975,2025-05-31 01:55:23,2025-05-31 02:29:40,47.826317,47.82128,-122.41055,-122.412384
9,0.090553075,-0.17937177,2025-05-31 02:33:35,2025-05-31 03:10:33,47.82065,47.81445,-122.41182,-122.41088
10,0.014807405,-0.17456666,2025-05-31 03:14:35,2025-05-31 03:52:53,47.8134,47.806866,-122.40977,-122.41212
11,-0.005857193,-0.14306922,2025-05-31 03:57:05,2025-05-31 04:37:05,47.806366,47.800785,-122.41127,-122.41261
12,-0.04976327,-0.033695046,2025-05-31 04:43:29,2025-05-31 05:25:33,47.80025,47.796318,-122.41158,-122.41555
13,-0.031929962,0.011624258,2025-05-31 05:30:11,2025-05-31 05:57:47,47.79608,47.79445,-122.415886,-122.4158
14,-0.004645425,0.064230494,2025-05-31 06:01:59,2025-05-31 06:28:29,47.794235,47.79335,-122.41652,-122.41558
15,-0.021968575,0.079642974,2025-05-31 06:32:10,2025-05-31 07:18:59,47.793316,47.7906,-122.41613,-122.41583
16,-0.016897647,0.12231587,2025-05-31 07:23:58,2025-05-31 08:06:58,47.790466,47.788532,-122.41605,-122.41527
17,-0.0206848,0.12992607,2025-05-31 08:11:29,2025-05-31 08:56:59,47.788567,47.787884,-122.41547,-122.41478
18,-0.00963125,0.08704905,2025-05-31 09:01:11,2025-05-31 09:35:11,47.7879,47.786983,-122.41513,-122.41433
19,-0.0024491926,-0.022578984,2025-05-31 09:39:22,2025-05-31 10:08:52,47.7872,47.785618,-122.41475,-122.4139
20,-0.018260919,0.029643614,2025-05-31 10:12:34,2025-05-31 10:49:28,47.785416,47.782234,-122.41382,-122.41537
21,0.019316442,0.008019582,2025-05-31 10:53:28,2025-05-31 11:31:33,47.7826,47.779167,-122.41513,-122.41345
22,0.010304536,-0.056108188,2025-05-31 11:35:35,2025-05-31 12:14:34,47.7796,47.774067,-122.41327,-122.414764
23,0.014415908,-0.06269852,2025-05-31 12:21:10,2025-05-31 12:48:59,47.774284,47.771317,-122.413765,-122.41535
24,-0.028250992,-0.11033461,2025-05-31 12:53:10,2025-05-31 13:23:53,47.771233,47.76755,-122.414566,-122.417465
25,0.022714583,-0.08828023,2025-05-31 13:27:35,2025-05-31 14:07:23,47.767418,47.761883,-122.417015,-122.416115
26,-0.005754904,-0.06819914,2025-05-31 14:11:28,2025-05-31 14:54:03,47.761684,47.756,-122.415634,-122.41766
27,-0.04871635,0.00027026975,2025-05-31 14:58:47,2025-05-31 15:41:03,47.7559,47.751118,-122.41727,-122.4207
28,-0.023513503,-0.050083894,2025-05-31 15:45:41,2025-05-31 16:14:40,47.75015,47.74775,-122.419785,-122.420685
29,-0.026966738,0.05618613,2025-05-31 16:18:40,2025-05-31 17:16:33,47.747433,47.7445,-122.42053,-122.42187
30,0.031598978,0.14393504,2025-05-31 17:30:11,2025-05-31 17:53:41,47.74428,47.743515,-122.42165,-122.421684
31,0.03623947,0.30646843,2025-05-31 17:57:23,2025-05-31 18:36:46,47.743767,47.7442,-122.42165,-122.42046
32,0.016375046,0.2534803,2025-05-31 18:41:22,2025-05-31 19:19:11,47.744534,47.746315,-122.420586,-122.419716
33,0.03622835,0.06744703,2025-05-31 19:23:29,2025-05-31 20:02:04,47.746567,47.747982,-122.41998,-122.4188
34,-0.0018287556,0.020816725,2025-05-31 20:06:23,2025-05-31 21:08:53,47.748318,47.74905,-122.4191,-122.41911
35,0.030915592,-0.045999028,2025-05-31 21:14:29,2025-05-31 22:24:03,47.749268,47.747616,-122.4199,-122.41814
36,0.022306018,-0.26888198,2025-05-31 22:29:29,2025-05-31 23:31:11,47.747635,47.739033,-122.4184,-122.4173
37,-0.12322379,-0.451203,2025-05-31 23:36:17,2025-06-01 00:49:40,47.738968,47.721466,-122.4177,-122.42535
38,-0.04434725,-0.48696873,2025-06-01 00:55:53,2025-06-01 01:59:17,47.721016,47.7045,-122.42658,-122.42872
39,-0.11050507,0.07333572,2025-06-01 02:05:03,2025-06-01 03:02:17,47.703583,47.705883,-122.4294,-122.4342
40,0.011364454,0.06729311,2025-06-01 03:07:41,2025-06-01 04:09:21,47.705334,47.707584,-122.43452,-122.43388
41,0.024854403,0.107813284,2025-06-01 04:14:41,2025-06-01 05:16:23,47.7074,47.710983,-122.43398,-122.4326
42,0.022544732,0.12562042,2025-06-01 05:21:40,2025-06-01 06:27:22,47.710983,47.71545,-122.432434,-122.43097
43,0.09945255,0.24203445,2025-06-01 06:32:52,2025-06-01 07:30:57,47.715866,47.7232,-122.430916,-122.42615
44,0.1486129,0.24210258,2025-06-01 07:36:11,2025-06-01 08:38:27,47.723934,47.731884,-122.42561,-122.41775
45,0.11795415,0.36544245,2025-06-01 08:43:53,2025-06-01 09:39:58,47.732533,47.74315,-122.4171,-122.41155
46,-0.06477501,0.4892196,2025-06-01 09:47:10,2025-06-01 10:43:33,47.74395,47.7586,-122.41103,-122.41438
47,0.00634467,0.22770515,2025-06-01 10:48:34,2025-06-01 11:41:04,47.759335,47.767582,-122.4143,-122.4103
48,-0.008949756,0.26166523,2025-06-01 11:45:52,2025-06-01 12:52:47,47.768,47.77735,-122.410034,-122.4104
49,-0.057801563,-0.30158946,2025-06-01 12:58:28,2025-06-01 14:01:57,47.776283,47.766315,-122.41088,-122.41358
50,-0.07959622,-0.018816045,2025-06-01 14:07:05,2025-06-01 14:52:34,47.765766,47.767433,-122.413536,-122.41943
51,-0.04007814,0.19847405,2025-06-01 14:57:35,2025-06-01 15:57:03,47.766632,47.772915,-122.41998,-122.42178
52,0.015809916,0.26317233,2025-06-01 16:02:05,2025-06-01 16:59:41,47.772484,47.780617,-122.42197,-122.42122
53,0.010440872,0.35652807,2025-06-01 17:05:10,2025-06-01 18:04:33,47.780365,47.79175,-122.42118,-122.420715
54,0.05158421,0.44776905,2025-06-01 18:10:29,2025-06-01 19:16:52,47.792217,47.80795,-122.42125,-122.418564
55,0.036217198,0.4063406,2025-06-01 19:22:46,2025-06-01 20:22:29,47.807484,47.82025,-122.41962,-122.417816
56,0.045983538,0.31028074,2025-06-01 20:27:46,2025-06-01 21:17:05,47.819965,47.828,-122.41872,-122.41687
57,-0.06937356,0.1102756,2025-06-01 21:21:58,2025-06-01 22:06:16,47.826984,47.830215,-122.418686,-122.41763
58,0.14724486,0.07962578,2025-06-01 22:10:41,2025-06-01 23:02:11,47.82945,47.83165,-122.419365,-122.41323
59,-0.007252048,0.04651512,2025-06-01 23:07:05,2025-06-01 23:47:33,47.830883,47.833015,-122.41495,-122.41153
60,0.053516414,-0.30260763,2025-06-01 23:51:53,2025-06-02 00:44:35,47.832634,47.824066,-122.413,-122.410416
61,-0.029289516,-0.38154516,2025-06-02 00:49:53,2025-06-02 01:45:59,47.823334,47.811768,-122.411934,-122.412766
62,-0.059703536,-0.46292418,2025-06-02 01:50:47,2025-06-02 02:46:29,47.8112,47.7974,-122.413635,-122.4159
63,0.08816921,-0.49821788,2025-06-02 02:51:17,2025-06-02 04:06:23,47.796383,47.778965,-122.41607,-122.41088
64,0.010480685,-0.16087781,2025-06-02 04:12:29,2025-06-02 04:56:53,47.7784,47.773018,-122.41068,-122.41817
65,0.026883656,-0.122312576,2025-06-02 05:01:11,2025-06-02 05:30:17,47.7729,47.769634,-122.418434,-122.4171
66,0.0050360737,-0.04630499,2025-06-02 05:34:04,2025-06-02 06:16:16,47.76972,47.764633,-122.417015,-122.42025
67,-0.024148045,0.10797906,2025-06-02 06:20:47,2025-06-02 06:53:51,47.763935,47.7676,-122.4205,-122.420235
68,0.011394553,-0.1373777,2025-06-02 06:58:04,2025-06-02 07:55:41,47.766365,47.762184,-122.4207,-122.4197
69,-0.024161281,-0.053327616,2025-06-02 08:00:41,2025-06-02 08:56:51,47.761433,47.759735,-122.420616,-122.42101
70,-0.0026276861,0.0029813838,2025-06-02 09:01:52,2025-06-02 10:00:27,47.759533,47.759533,-122.4217,-122.42108
71,0.0072112386,-0.013646309,2025-06-02 10:09:40,2025-06-02 11:10:28,47.761234,47.7605,-122.42184,-122.42125
72,0.0054489123,-0.057420027,2025-06-02 11:15:41,2025-06-02 12:10:47,47.76145,47.75955,-122.4214,-122.420586
73,0.0040032146,-0.1469717,2025-06-02 12:15:35,2025-06-02 13:18:27,47.760017,47.754917,-122.420364,-122.42065
74,0.052822366,-0.2710372,2025-06-02 13:23:41,2025-06-02 14:36:03,47.755016,47.7445,-122.4203,-122.4179
75,-0.045337975,-0.33012307,2025-06-02 14:41:47,2025-06-02 15:49:03,47.744267,47.732716,-122.417465,-122.42046
76,-0.11668685,-0.3386219,2025-06-02 15:54:17,2025-06-02 17:04:05,47.7321,47.71977,-122.420135,-122.42699
77,-0.03396137,-0.28478456,2025-06-02 17:09:59,2025-06-02 18:10:58,47.718533,47.709316,-122.42705,-122.42796
78,0.014780214,0.05559974,2025-06-02 18:16:16,2025-06-02 19:02:59,47.7086,47.70487,-122.4283,-122.42326
79,0.0470559,0.124564305,2025-06-02 19:09:46,2025-06-02 19:54:33,47.70418,47.70252,-122.424034,-122.42347
