dive,U_DAC,V_DAC
0,-0.06786121,-0.1411305
1,-0.09728721,-0.081277296
2,-0.095351346,-0.092397936
3,-0.05792458,-0.0743506
4,-0.015226301,-0.025594134
5,0.014551828,-0.039052293
6,0.031118419,0.011811985
7,0.10410444,0.058433235
8,0.08692778,0.118136875
9,0.099738196,0.10534377
10,0.0936444,0.079052605
11,0.056859665,0.06763015
12,0.0459054,0.07040199
13,-0.012437952,0.01320136
14,-0.0986532,0.0096643185
15,-0.15004057,0.03705393
16,-0.19353966,0.029619701
17,-0.18226556,-0.0203008
18,-0.098015144,-0.026351042
19,-0.045792427,-0.036619157
20,-0.04486873,-0.04564934
21,-0.014813175,-0.05754087
22,-0.038364172,-0.010385237
23,0.028107626,0.0074215033
24,-0.045771312,0.03176088
25,-0.13131347,0.0007660788
26,-0.20530745,0.015426139
27,-0.32327315,0.038141094
28,-0.51917654,0.19236252
29,-0.30515262,0.27755067
30,-0.18184,0.24177054
31,-0.09849584,0.04091224
32,-0.037608113,-0.13085134
33,0.07197707,-0.2632404
34,0.10381712,-0.41718093
35,0.114306286,-0.4118684
36,0.12788175,-0.3438043
37,0.13976179,-0.26779714
38,0.14196925,-0.27186447
39,0.10769348,-0.12990342
40,0.105670825,-0.07853202
41,0.07072117,0.017574795
42,0.0036030165,0.0148262
43,-0.0318206,0.09026915
44,-0.09060249,0.06730683
45,-0.12962711,0.070173375
46,-0.10114847,-0.023458557
47,-0.112999275,-0.045336027
48,-0.0546143,-0.042969942
49,-0.052461006,-0.039515264
50,-0.033662677,-0.06348897
51,-0.09480774,-0.11327537
52,-0.017846268,-0.054513536
53,-0.0044996743,-0.025873875
54,-0.0062975152,-0.00034284024
55,-0.034540392,0.029432714
56,-0.04416174,0.0944183
57,-0.14075564,0.17636772
58,-0.19472265,0.24517637
59,-0.1316167,0.2150968
60,-0.13457157,0.11502774
61,-0.041269705,-0.08797333
62,0.065661244,-0.22669262
63,0.19709387,-0.2695196
64,0.27993074,-0.21590912
65,0.21231021,-0.10359258
66,0.23061687,-0.043428726
67,0.14703885,0.084026694
68,0.046703745,0.021961534
69,-0.00018111106,0.002529839
70,-0.04515036,-0.020653773
71,-0.06413528,-0.054199588
72,-0.053817485,-0.06389764
73,-0.040887743,-0.061917234
74,-0.021350257,-0.041219257
75,-0.07837293,-0.077627875
76,-0.080173925,-0.06051799
77,-0.056131195,-0.040088035
78,-0.024958512,-0.03496536
79,-0.047852658,-0.0028362367
80,-0.0673777,0.031300813
81,-0.10214652,0.055099968
82,-0.1768605,0.11584986
83,-0.2306306,0.14133036
84,-0.2381271,0.10374035
85,-0.11402184,0.007453424
86,-0.003373378,-0.11616933
87,0.103285104,-0.11614756
88,0.13959494,-0.12637469
89,0.14372125,-0.06036973
90,0.1546865,-0.010909886
91,0.11379976,0.03238235
92,0.0869966,0.022900209
93,0.031973284,-0.016344626
94,-0.045643564,-0.025784926
95,-0.07747459,-0.01339751
96,-0.12913807,-0.0028563696
97,-0.16719535,0.03226997
98,-0.1775134,0.04440538
99,-0.13423823,0.04491156
100,-0.056292586,-0.008213359
101,0.011395194,-0.049673315
102,0.042077497,-0.090423435
103,0.046050705,-0.060087312
104,0.057774823,-0.02473414
105,0.036750678,-0.03776965
106,0.016141618,-0.02747447
107,-0.0043759095,-0.040386677
108,-0.035147086,-0.052879926
109,-0.022977049,-0.056657817
110,-0.07742997,-0.054480523
111,-0.08078513,-0.046794806
112,-0.055963263,-0.051444564
113,-0.0162699,-0.07014004
114,0.027173135,-0.03018824
115,0.08181553,-0.043157663
116,0.12411341,-0.028505063
117,0.085068576,-0.001338069
118,0.042759914,-0.0011673032
119,0.0016726259,0.039405003
120,-0.08816041,0.06997541
121,-0.19016024,0.06638965
122,-0.20644692,0.14609727
123,-0.26941574,0.21145183
124,-0.15345097,0.1643018
125,-0.071671076,0.051025376
126,0.029691843,-0.093810804
127,0.11578505,-0.1422475
128,0.17031358,-0.07938857
129,0.12639269,-0.020246299
130,0.06136836,-0.015924437
131,0.025589889,0.012558115
132,0.024468848,-0.027705254
133,-0.011833214,-0.05028633
134,0.010307435,-0.057825763
135,-0.019347377,-0.04006687
136,0.0036025983,-0.022841759
137,0.0509563,-0.030177908
138,0.036728557,-0.018956335
139,0.031125074,0.053269964
140,0.020879721,-0.030286938
141,0.019140836,-0.049070228
142,0.049365807,-0.0016351057
143,-0.0035462424,-0.040259264
144,0.030147392,-0.012371233
145,-0.060865574,-0.029399076
146,-0.07869886,-0.021308541
147,-0.10959877,-0.0036963415
148,-0.15174466,-0.011198203
149,-0.19436036,0.009702808
150,-0.23766159,-0.017616699
151,-0.19198354,0.026647331
152,-0.14225926,-0.025455473
153,-0.0078013293,-0.06498678
154,0.055583425,-0.10105489
155,0.07046558,-0.09503228
156,0.08579921,-0.06923416
157,0.09589076,-0.036872633
158,0.08085039,0.01325285
159,0.07776623,0.012348029
160,0.045813926,-0.012901028
161,0.0557996,-0.023843374
162,0.017535774,-0.002586353
163,0.021192068,-0.03087771
164,-0.06200349,-0.07508782
165,-0.0016007845,-0.045019556
166,-0.013653331,-0.0036767633
167,-0.038512494,-0.04893964
168,-0.0032827477,0.017129438
169,-0.05273691,-0.048654396
170,0.035765097,0.027155327
171,0.015740655,0.02168752
172,-0.004335359,-0.041911095
173,0.024046829,0.022535522
174,-0.01612538,-0.0061632884
175,0.009979754,0.006303353
176,-0.02820022,-0.043334786
177,-0.08791819,-0.026888074
178,-0.16002169,-0.020054689
179,-0.22349992,0.021079779
180,-0.2281929,0.04293412
181,-0.19267935,0.070426136
182,-0.15306105,0.0077869063
183,-0.008015433,-0.0846374
184,0.085058354,-0.11419213
185,0.1139206,-0.1069403
186,0.113475375,-0.09586318
187,0.11794166,-0.021094834
188,0.116100036,0.011515141
189,0.086220205,0.008006276
190,0.027637653,0.021431146
191,0.025116833,-0.002655875
192,-0.054254036,-0.03672118
193,-0.009063254,-0.018417167
194,-0.011659681,-0.039494783
