Variable Name,05/30/2025 Time Series (sg194)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2025_05_30_timeseries
WMO (unique identifier assigned to a glider),sg194
Glider Name,Clementine
Glider Model,Seaglider
Glider Serial Number,194
Contacts (PI Mandatory),"Katie Kohlman, Kathryn Farabaugh, William Menapace, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist, Lead Pilot, Mission Planner, Data Manager"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), University of Washinton Leo Cup, Applied Physics Laboratory"
Agency roles,"Funding Agency, Funding Agency, Operating Agency"
Start Date,2025-05-30T11:10:00Z
Deployment Latitude,47.85895°
Deployment Longitude,-121.65318°
Deployment Ship,Dadilest Catch
End Date,2025-06-13T10:33:00Z
Oceangliders Site,"Puget Sound, WA, USA (not yet an offical Oceangliders Site)"
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Aanderaa Optode, Wetlabs"
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,10/9/2024
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,"The glider struggled with strong currents to the North throughout the mission. As a result, the glider was held at the East Target multiple times to avoid being pulled too far North. "
