dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,-0.023214573,0.2676834,2026-01-23 17:33:52,2026-01-23 17:49:52,47.82963,47.832115,-122.401665,-122.40137
1,0.017753096,0.2690336,2026-01-23 17:56:53,2026-01-23 18:13:23,47.832615,47.835365,-122.40207,-122.40145
2,-0.06660321,0.30994985,2026-01-23 18:24:52,2026-01-23 18:50:53,47.836166,47.841667,-122.40258,-122.4038
3,-0.10261339,0.2505971,2026-01-23 19:07:52,2026-01-23 19:47:23,47.842,47.8495,-122.4068,-122.4089
4,-0.18518366,0.23794086,2026-01-23 20:01:58,2026-01-23 20:32:33,47.84975,47.854633,-122.41222,-122.4158
5,-0.20461448,0.11445353,2026-01-23 20:36:59,2026-01-23 21:23:03,47.8551,47.8599,-122.41828,-122.42274
6,-0.04157126,0.116442,2026-01-23 21:46:34,2026-01-23 22:05:53,47.858368,47.85955,-122.43573,-122.43567
7,-0.071639515,-0.051070616,2026-01-23 22:17:05,2026-01-23 22:36:17,47.85885,47.858116,-122.44068,-122.44115
8,0.015655631,0.013020374,2026-01-23 22:43:17,2026-01-23 23:20:59,47.857285,47.857285,-122.444466,-122.440865
9,0.17010555,-0.04320746,2026-01-23 23:36:53,2026-01-24 00:17:35,47.85635,47.855118,-122.44828,-122.440315
10,0.1348127,-0.08863133,2026-01-24 00:24:59,2026-01-24 00:51:23,47.854866,47.85345,-122.443214,-122.4386
11,0.18069646,0.028636608,2026-01-24 00:55:17,2026-01-24 01:37:53,47.853367,47.854015,-122.43982,-122.429665
12,0.10712823,-0.044520278,2026-01-24 01:42:53,2026-01-24 02:12:22,47.853767,47.8526,-122.431366,-122.427284
13,0.0877088,0.044091426,2026-01-24 02:16:28,2026-01-24 02:46:04,47.85248,47.85295,-122.42845,-122.42458
14,0.027065365,0.043438222,2026-01-24 02:50:28,2026-01-24 03:21:47,47.852932,47.853085,-122.42603,-122.42377
15,0.015336333,0.07107608,2026-01-24 03:26:29,2026-01-24 03:58:23,47.853184,47.853733,-122.4251,-122.42275
16,0.067122996,0.05952251,2026-01-24 04:02:59,2026-01-24 04:48:04,47.853817,47.85395,-122.4239,-122.41873
17,-0.06461132,0.10135124,2026-01-24 04:55:22,2026-01-24 05:24:04,47.8543,47.855167,-122.4203,-122.42025
18,-0.11727417,0.09312763,2026-01-24 05:28:22,2026-01-24 05:56:04,47.85545,47.855885,-122.42108,-122.42197
19,-0.12560214,0.03663353,2026-01-24 06:00:28,2026-01-24 06:43:59,47.856133,47.8554,-122.4229,-122.42374
20,-0.12973545,0.032554332,2026-01-24 06:49:05,2026-01-24 07:35:53,47.8551,47.854935,-122.42627,-122.427765
21,-0.15453553,0.06851734,2026-01-24 07:45:40,2026-01-24 08:15:16,47.854267,47.854916,-122.43253,-122.4344
22,-0.070616685,-0.022471856,2026-01-24 08:20:03,2026-01-24 09:14:41,47.854866,47.8526,-122.43667,-122.434784
23,0.031113459,0.044047937,2026-01-24 09:20:40,2026-01-24 09:48:46,47.85245,47.8529,-122.43708,-122.4347
24,0.10065021,-0.041939277,2026-01-24 09:53:33,2026-01-24 11:05:52,47.852768,47.84945,-122.43675,-122.425316
25,0.17505224,-0.042652998,2026-01-24 11:12:29,2026-01-24 12:07:33,47.8491,47.8476,-122.428314,-122.41635
26,0.14415489,-0.058783814,2026-01-24 12:13:04,2026-01-24 12:46:10,47.84715,47.84617,-122.418434,-122.41265
27,0.2022859,0.064654924,2026-01-24 12:50:53,2026-01-24 13:42:17,47.845833,47.848118,-122.414215,-122.4021
28,0.12524387,0.0029806346,2026-01-24 13:49:47,2026-01-24 14:17:46,47.84755,47.847435,-122.404,-122.39958
29,0.10612254,0.04721926,2026-01-24 14:22:33,2026-01-24 14:52:17,47.847034,47.84762,-122.4006,-122.39623
30,0.20469771,0.084256664,2026-01-24 14:56:46,2026-01-24 15:50:47,47.84757,47.84885,-122.39695,-122.38406
31,0.037758984,0.018936718,2026-01-24 15:57:04,2026-01-24 16:26:11,47.84902,47.8484,-122.38502,-122.38302
32,0.1484242,0.0033644612,2026-01-24 16:30:40,2026-01-24 17:24:53,47.84845,47.846584,-122.383835,-122.3741
33,0.11966413,0.01596255,2026-01-24 17:30:28,2026-01-24 17:53:33,47.846367,47.846066,-122.374016,-122.371185
34,0.10849196,-0.02317062,2026-01-24 17:57:22,2026-01-24 18:20:05,47.845882,47.845135,-122.37138,-122.36833
35,-0.15482026,-0.021956015,2026-01-24 18:23:58,2026-01-24 18:51:33,47.844883,47.844685,-122.368286,-122.372986
36,-0.16248487,0.0174812,2026-01-24 18:55:35,2026-01-24 19:21:46,47.84395,47.84432,-122.373665,-122.37845
37,-0.1903986,0.01660519,2026-01-24 19:25:52,2026-01-24 19:55:47,47.843815,47.844166,-122.379265,-122.38551
38,-0.21530746,0.02765624,2026-01-24 19:59:59,2026-01-24 20:29:03,47.843582,47.844215,-122.3869,-122.39384
39,-0.24480274,0.034268465,2026-01-24 20:33:17,2026-01-24 21:02:10,47.843517,47.844334,-122.39547,-122.402916
40,-0.24766883,0.038823783,2026-01-24 21:06:29,2026-01-24 21:34:22,47.84375,47.8445,-122.40495,-122.411964
41,-0.23498568,0.08344511,2026-01-24 21:38:40,2026-01-24 22:07:58,47.843884,47.845284,-122.41427,-122.42155
42,-0.24948312,-0.02120618,2026-01-24 22:12:35,2026-01-24 22:36:52,47.8451,47.844284,-122.4239,-122.42875
43,-0.22310638,0.072973415,2026-01-24 22:40:47,2026-01-24 23:06:53,47.843983,47.84525,-122.43108,-122.436485
44,0.04037429,0.036903642,2026-01-24 23:13:59,2026-01-25 00:20:59,47.844784,47.845634,-122.43995,-122.4319
45,0.039124534,-0.08624873,2026-01-25 00:27:28,2026-01-25 00:56:47,47.84545,47.843384,-122.4345,-122.43272
46,0.10572319,-0.022842214,2026-01-25 01:00:59,2026-01-25 01:29:53,47.843468,47.8432,-122.4343,-122.429665
47,0.11392089,0.005963852,2026-01-25 01:34:16,2026-01-25 02:01:41,47.8435,47.843735,-122.43095,-122.426636
48,0.17035992,-0.016665721,2026-01-25 02:06:22,2026-01-25 02:36:21,47.84415,47.844,-122.42765,-122.4218
49,0.12184829,0.008605995,2026-01-25 02:41:03,2026-01-25 03:07:53,47.84395,47.84425,-122.42287,-122.418236
50,0.13223732,-0.0012263018,2026-01-25 03:12:04,2026-01-25 03:44:35,47.8442,47.844418,-122.419136,-122.4132
51,0.06991648,0.068046026,2026-01-25 03:49:04,2026-01-25 04:22:47,47.844234,47.845615,-122.414185,-122.40965
52,0.04709577,0.097797774,2026-01-25 04:27:42,2026-01-25 05:00:21,47.84565,47.84685,-122.41043,-122.40694
53,0.021432329,0.09951061,2026-01-25 05:04:53,2026-01-25 05:31:59,47.8468,47.847435,-122.407234,-122.40432
54,0.012499284,0.095855586,2026-01-25 05:36:17,2026-01-25 06:02:52,47.8474,47.8482,-122.4041,-122.40155
55,0.005448221,0.09279733,2026-01-25 06:07:10,2026-01-25 06:32:53,47.84795,47.849033,-122.40141,-122.39947
56,-0.008629538,0.05794022,2026-01-25 06:37:04,2026-01-25 07:02:53,47.848915,47.849415,-122.39957,-122.3975
57,0.006329385,0.07597537,2026-01-25 07:07:16,2026-01-25 07:32:57,47.849415,47.84995,-122.39767,-122.3953
58,0.035175245,0.015693752,2026-01-25 07:39:22,2026-01-25 08:07:03,47.849815,47.8493,-122.3955,-122.39232
59,0.028113415,-0.047371186,2026-01-25 08:11:11,2026-01-25 09:04:23,47.848682,47.846233,-122.39249,-122.38637
60,-0.014402979,0.004548738,2026-01-25 09:12:22,2026-01-25 10:11:03,47.845,47.84565,-122.3877,-122.38036
61,0.06331905,0.042958133,2026-01-25 10:17:28,2026-01-25 11:14:11,47.8449,47.846333,-122.38168,-122.37293
62,0.07431043,0.02938659,2026-01-25 11:20:11,2026-01-25 11:58:58,47.846333,47.845818,-122.373665,-122.36698
63,-0.04483859,0.030670132,2026-01-25 12:03:53,2026-01-25 12:54:11,47.845932,47.84645,-122.36742,-122.37513
64,-0.0030875036,0.043113604,2026-01-25 13:02:10,2026-01-25 13:56:58,47.8459,47.847,-122.37685,-122.38343
65,0.019462844,0.04165901,2026-01-25 14:03:04,2026-01-25 14:56:58,47.846466,47.8474,-122.38461,-122.390236
66,0.012713467,0.057421047,2026-01-25 15:02:41,2026-01-25 15:52:52,47.846867,47.847733,-122.39163,-122.3975
67,-0.0087471865,0.09461207,2026-01-25 16:08:16,2026-01-25 16:58:53,47.8469,47.84828,-122.40072,-122.4073
68,-0.06470518,0.10655026,2026-01-25 17:04:23,2026-01-25 17:58:33,47.847717,47.848167,-122.40833,-122.41525
69,-0.078506365,0.15603292,2026-01-25 18:34:17,2026-01-25 19:29:05,47.847065,47.84955,-122.42617,-122.4227
70,-0.16786179,0.08540042,2026-01-25 19:38:35,2026-01-25 20:31:21,47.85018,47.8495,-122.42533,-122.426834
71,-0.18767934,0.121327415,2026-01-25 20:39:05,2026-01-25 21:39:46,47.849285,47.850285,-122.4302,-122.43065
72,-0.19438411,0.044747993,2026-01-25 21:45:53,2026-01-25 22:57:33,47.85065,47.848633,-122.43387,-122.436035
73,-0.12260587,0.068370365,2026-01-25 23:03:53,2026-01-26 00:14:52,47.848232,47.84905,-122.43961,-122.43497
74,0.0077389195,0.021083795,2026-01-26 00:21:33,2026-01-26 01:30:17,47.848934,47.847435,-122.43808,-122.427216
75,0.101103716,-0.024625102,2026-01-26 01:36:59,2026-01-26 02:36:33,47.8473,47.845585,-122.42948,-122.41697
76,0.13013898,0.004573843,2026-01-26 02:42:28,2026-01-26 03:40:35,47.845734,47.846016,-122.41897,-122.40543
77,0.1281912,0.04600498,2026-01-26 03:46:23,2026-01-26 04:42:40,47.84605,47.84705,-122.40683,-122.394
78,0.12463203,0.08347758,2026-01-26 04:48:46,2026-01-26 05:45:03,47.84745,47.848083,-122.394615,-122.38192
79,0.11702968,0.048345435,2026-01-26 05:50:52,2026-01-26 06:46:59,47.84835,47.84625,-122.38212,-122.371185
80,0.07028585,-0.009491531,2026-01-26 06:52:41,2026-01-26 07:28:04,47.84645,47.844067,-122.371185,-122.366615
81,-0.03553495,0.060906112,2026-01-26 07:32:52,2026-01-26 08:08:04,47.844017,47.847984,-122.36645,-122.36874
82,0.04732406,-0.023780957,2026-01-26 08:12:53,2026-01-26 08:50:04,47.84805,47.844967,-122.3689,-122.36455
83,-0.023364509,-0.01439523,2026-01-26 08:54:53,2026-01-26 09:23:21,47.844917,47.843616,-122.3646,-122.36673
84,-0.05523952,0.017513912,2026-01-26 09:27:35,2026-01-26 10:01:17,47.84375,47.846832,-122.36628,-122.368416
85,-0.00697138,-0.02113984,2026-01-26 10:05:47,2026-01-26 10:42:27,47.84625,47.8449,-122.36912,-122.364235
86,-0.086381845,-0.0007576525,2026-01-26 10:47:11,2026-01-26 11:20:04,47.844482,47.846416,-122.36495,-122.37033
87,-0.002394615,0.042089,2026-01-26 11:24:41,2026-01-26 12:02:53,47.84625,47.846733,-122.37125,-122.36545
88,0.003967707,-0.02203611,2026-01-26 12:08:10,2026-01-26 12:42:33,47.846783,47.84318,-122.3662,-122.364914
